,1080Lines,1400Ripples,Air_Compressor,Blip,Blip_Low_Frequency,Chirp,Extremely_Loud,Fast_Scattering,Helix,Koi_Fish,Light_Modulation,Low_Frequency_Burst,Low_Frequency_Lines,No_Glitch,None_of_the_Above,Paired_Doves,Power_Line,Repeating_Blips,Scattered_Light,Scratchy,Tomte,Violin_Mode,Wandering_Line,Whistle
1080Lines,0.43351063829787234,0.0026595744680851063,0.0,0.0,0.0,0.0,0.0,0.005319148936170213,0.0,0.0,0.0,0.0,0.010638297872340425,0.026595744680851064,0.0,0.0,0.0,0.0,0.05319148936170213,0.0,0.0,0.0,0.0,0.46808510638297873
1400Ripples,0.002826455624646693,0.46636517806670436,0.0,0.0,0.0,0.0,0.0,0.0022611644997173543,0.0,0.0,0.0,0.0,0.0016958733747880158,0.1594120972300735,0.0,0.0,0.0,0.0,0.0005652911249293386,0.0,0.0,0.0005652911249293386,0.0,0.36630864895421145
Air_Compressor,0.0,0.0,0.4557823129251701,0.0,0.0013605442176870747,0.0,0.0,0.3020408163265306,0.0,0.0013605442176870747,0.0,0.0,0.0,0.17959183673469387,0.0,0.0,0.006802721088435374,0.0,0.04625850340136054,0.0,0.0013605442176870747,0.005442176870748299,0.0,0.0
Blip,0.0,0.0,0.0,0.8095238095238095,0.08973113054745707,0.0,0.0,0.0006478781988986071,0.0,0.07126660187884677,0.0,0.0,0.00032393909944930353,0.0045351473922902496,0.0,0.0,0.0012957563977972141,0.0006478781988986071,0.0,0.0006478781988986071,0.0051830255911888565,0.003887269193391642,0.0,0.012309685779073534
Blip_Low_Frequency,0.0,0.0,0.0015600624024961,0.057895649159299706,0.2860114404576183,0.0,0.0,0.0327613104524181,0.0,0.062575836366788,0.0,0.0001733402669440111,0.0,0.0024267637372161555,0.0,0.0,0.0,0.0,0.0,0.0,0.5564222568902756,0.0001733402669440111,0.0,0.0
Chirp,0.0,0.0,0.0,0.4117647058823529,0.47058823529411764,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Extremely_Loud,0.00034746351633078526,0.0,0.0006949270326615705,0.0,0.00034746351633078526,0.0,0.8141070187630299,0.006080611535788742,0.0,0.08373870743571925,0.0012161223071577485,0.023453787352328007,0.009728978457261988,0.0017373175816539264,0.0,0.0,0.0005211952744961779,0.0,0.05333564975677554,0.0005211952744961779,0.0026059763724808893,0.0,0.0,0.0015635858234885338
Fast_Scattering,0.0,0.00011719207781553967,0.007383100902378999,0.0005273643501699285,0.0001757881167233095,0.0,0.0015234970116020157,0.927458103832181,0.0,0.008730809797257705,0.0,0.0009375366225243173,0.0034571662955584204,0.002461033634126333,0.0,0.0,0.0,0.0,0.026251025430680888,0.0,0.020039845306457284,0.0,0.0,0.0009375366225243173
Helix,0.0,0.0,0.0,0.038461538461538464,0.01282051282051282,0.0,0.05128205128205128,0.16666666666666666,0.0,0.4230769230769231,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.1282051282051282,0.02564102564102564,0.08974358974358974,0.0,0.0,0.02564102564102564
Koi_Fish,0.0,0.0,0.0005626406601650412,0.0046886721680420105,0.004126031507876969,0.0,0.12771942985746437,0.023443360840210054,0.0,0.7850712678169542,0.0,0.0,0.0,0.0015003750937734434,0.0,0.0,0.0,0.00018754688672168043,0.0016879219804951237,0.0005626406601650412,0.04838709677419355,0.0,0.0,0.0020630157539384846
